QP=48 | PSNR=33.54 | SSIM=0.9363 | size=52 B | ratio=0.0225 | reduction=97.75% | time=3.1410s
QP= 6 | PSNR=57.57 | SSIM=0.9999 | size=12.67 KB | ratio=1.3584 | reduction=-35.84% | time=6.1340s
QP=12 | PSNR=52.51 | SSIM=0.9996 | size=8.58 KB | ratio=0.9194 | reduction=8.06% | time=6.7189s
QP=18 | PSNR=47.05 | SSIM=0.9986 | size=5.40 KB | ratio=0.5785 | reduction=42.15% | time=4.0124s
QP=24 | PSNR=42.36 | SSIM=0.9956 | size=3.12 KB | ratio=0.3340 | reduction=66.60% | time=1.1463s
QP=30 | PSNR=37.73 | SSIM=0.9867 | size=1.60 KB | ratio=0.1716 | reduction=82.84% | time=6.0843s
QP=36 | PSNR=33.34 | SSIM=0.9608 | size=692 B | ratio=0.0725 | reduction=92.75% | time=4.7873s
QP=42 | PSNR=30.04 | SSIM=0.9116 | size=263 B | ratio=0.0275 | reduction=97.25% | time=3.7602s
QP=48 | PSNR=27.40 | SSIM=0.8273 | size=84 B | ratio=0.0088 | reduction=99.12% | time=2.3321s
QP= 6 | PSNR=60.01 | SSIM=0.9999 | size=7.75 KB | ratio=1.9441 | reduction=-94.41% | time=5.1821s
QP=12 | PSNR=54.93 | SSIM=0.9998 | size=5.67 KB | ratio=1.4233 | reduction=-42.33% | time=1.1501s
